uni_code,course_name,university,stream,district,z-score,year
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,COLOMBO,2.2191,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,GAMPAHA,2.2341,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,KALUTARA,2.2297,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,MATALE,2.4612,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,KANDY,2.4574,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,NUWARA ELIYA,2.2303,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,GALLE,2.2335,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,MATARA,2.2216,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,HAMBANTOTA,2.2692,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,JAFFNA,2.2247,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,MULLAITIVU,2.3956,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,VAVUNIYA,2.4104,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,BATTICALOA,2.6303,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,PUTTALAM,2.276,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,KURUNEGALA,2.2191,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,ANURADHAPURA,2.2636,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,BADULLA,2.3346,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,KEGALLE,2.7386,2019
001A,MEDICINE,UNIVERSITY OF COLOMBO,BIOLOGICAL SCIENCE,RATNAPURA,2.2539,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,COLOMBO,2.0745,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,GAMPAHA,2.0676,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,KALUTARA,2.0608,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,MATALE,2.0835,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,KANDY,2.0716,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,NUWARA ELIYA,2.0824,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,GALLE,2.0673,2019
001B,MEDICINE,UNIVERSITY OF PERADENIYA,BIOLOGICAL SCIENCE,MATARA,2.0781,2019
